2021-07-15 07:23:35,145 | asyncio | DEBUG | Using selector: EpollSelector
2021-07-15 07:23:35,148 | bot | DEBUG | created bot base.
2021-07-15 07:23:35,186 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2021-07-15 07:23:35,187 | constant | DEBUG | init database succesful
2021-07-15 07:23:35,231 | utils.planner | DEBUG | triggered update
2021-07-15 07:23:35,240 | bot | DEBUG | bot subclass Created.
2021-07-15 07:23:35,248 | bot | INFO | Cog loaded: Help
2021-07-15 07:23:35,251 | bot | INFO | Cog loaded: Updater
2021-07-15 07:23:35,253 | bot | INFO | Cog loaded: ErrorHandler
2021-07-15 07:23:35,255 | bot | INFO | Cog loaded: Debug
2021-07-15 07:23:35,256 | bot | INFO | Cog loaded: VoiceChannel
2021-07-15 07:23:35,266 | bot | INFO | Cog loaded: Snekbox
2021-07-15 07:23:35,269 | bot | INFO | Cog loaded: AdminCommands
2021-07-15 07:23:35,271 | bot | INFO | Cog loaded: DayLoop
2021-07-15 07:23:35,420 | bot | INFO | Cog loaded: KUSNews
2021-07-15 07:23:35,421 | bot | INFO | Cog loaded: NewPatch
2021-07-15 07:23:35,423 | bot | INFO | Cog loaded: Latency
2021-07-15 07:23:35,424 | bot | INFO | Cog loaded: Utility
2021-07-15 07:23:35,426 | bot | INFO | Cog loaded: SetUp
2021-07-15 07:23:35,428 | bot | INFO | Cog loaded: Assignments
2021-07-15 07:23:35,475 | exts.kus | DEBUG | loaded data
2021-07-15 07:23:37,978 | utils.planner | DEBUG | returning sorted date for 562976873685057546
2021-07-15 07:23:37,992 | bot | INFO | Connected successfully
2021-07-15 07:23:38,170 | bot | DEBUG | changed bot status
2021-07-15 07:23:38,193 | utils.planner | DEBUG | returning sorted date for 728482381215826000
2021-07-15 07:23:38,312 | utils.planner | DEBUG | returning sorted date for 829749071891005512
2021-07-15 15:21:56,538 | asyncio | DEBUG | Using selector: EpollSelector
2021-07-15 15:21:56,543 | bot | DEBUG | created bot base.
2021-07-15 15:21:56,603 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2021-07-15 15:21:56,603 | constant | DEBUG | init database succesful
2021-07-15 15:21:56,702 | utils.planner | DEBUG | triggered update
2021-07-15 15:21:56,711 | bot | DEBUG | bot subclass Created.
2021-07-15 15:21:56,742 | bot | INFO | Cog loaded: Assignments
2021-07-15 15:21:56,744 | bot | INFO | Cog loaded: ErrorHandler
2021-07-15 15:21:56,750 | bot | INFO | Cog loaded: Help
2021-07-15 15:21:56,754 | bot | INFO | Cog loaded: SetUp
2021-07-15 15:21:56,758 | bot | INFO | Cog loaded: Updater
2021-07-15 15:21:56,760 | bot | INFO | Cog loaded: NewPatch
2021-07-15 15:21:56,762 | bot | INFO | Cog loaded: VoiceChannel
2021-07-15 15:21:56,774 | bot | INFO | Cog loaded: Debug
2021-07-15 15:21:57,174 | bot | INFO | Cog loaded: KUSNews
2021-07-15 15:21:57,183 | bot | INFO | Cog loaded: AdminCommands
2021-07-15 15:21:57,191 | bot | INFO | Cog loaded: Snekbox
2021-07-15 15:21:57,195 | bot | INFO | Cog loaded: Utility
2021-07-15 15:21:57,199 | bot | INFO | Cog loaded: Latency
2021-07-15 15:21:57,201 | bot | INFO | Cog loaded: DayLoop
2021-07-15 15:21:57,300 | exts.kus | DEBUG | loaded data
2021-07-15 15:21:59,956 | utils.planner | DEBUG | returning sorted date for 562976873685057546
2021-07-15 15:21:59,970 | bot | INFO | Connected successfully
2021-07-15 15:22:00,058 | bot | DEBUG | changed bot status
2021-07-15 15:22:00,080 | utils.planner | DEBUG | returning sorted date for 728482381215826000
2021-07-15 15:22:00,166 | utils.planner | DEBUG | returning sorted date for 829749071891005512
2021-07-15 15:26:36,424 | bot | INFO | Resumed Connection
2021-07-15 15:26:36,645 | bot | DEBUG | changed bot status
2021-07-15 16:03:44,196 | bot | INFO | Resumed Connection
2021-07-15 16:03:44,365 | bot | DEBUG | changed bot status
2021-07-20 00:08:51,726 | asyncio | DEBUG | Using selector: EpollSelector
2021-07-20 00:08:51,729 | bot | DEBUG | created bot base.
2021-07-20 00:08:51,769 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2021-07-20 00:08:51,771 | constant | DEBUG | init database succesful
2021-07-20 00:08:51,810 | utils.planner | DEBUG | triggered update
2021-07-20 00:08:51,819 | bot | DEBUG | bot subclass Created.
2021-07-20 00:08:51,825 | bot | INFO | Cog loaded: Snekbox
2021-07-20 00:08:51,828 | bot | INFO | Cog loaded: ErrorHandler
2021-07-20 00:08:51,832 | bot | INFO | Cog loaded: Latency
2021-07-20 00:08:51,836 | bot | INFO | Cog loaded: Assignments
2021-07-20 00:08:51,838 | bot | INFO | Cog loaded: SetUp
2021-07-20 00:08:51,842 | bot | INFO | Cog loaded: AdminCommands
2021-07-20 00:08:51,844 | bot | INFO | Cog loaded: Utility
2021-07-20 00:08:51,847 | bot | INFO | Cog loaded: DayLoop
2021-07-20 00:08:51,849 | bot | INFO | Cog loaded: Updater
2021-07-20 00:08:51,852 | bot | INFO | Cog loaded: Debug
2021-07-20 00:08:52,016 | bot | INFO | Cog loaded: KUSNews
2021-07-20 00:08:52,019 | bot | INFO | Cog loaded: NewPatch
2021-07-20 00:08:52,024 | bot | INFO | Cog loaded: Help
2021-07-20 00:08:52,026 | bot | INFO | Cog loaded: VoiceChannel
2021-07-20 00:08:52,066 | exts.kus | DEBUG | loaded data
2021-07-20 00:08:54,584 | utils.planner | DEBUG | returning sorted date for 562976873685057546
2021-07-20 00:08:54,603 | bot | INFO | Connected successfully
2021-07-20 00:08:54,690 | bot | DEBUG | changed bot status
2021-07-20 00:08:54,700 | utils.planner | DEBUG | returning sorted date for 728482381215826000
2021-07-20 00:08:54,786 | utils.planner | DEBUG | returning sorted date for 829749071891005512
2021-07-20 01:29:27,258 | bot | INFO | Resumed Connection
2021-07-20 01:29:27,399 | bot | DEBUG | changed bot status
2021-07-20 01:36:29,351 | exts.admin | DEBUG | Admin Eval from Tpmonkey#2682; code: self.bot.manager.get_all()
2021-07-20 01:39:18,914 | bot | INFO | Cog loaded: SetUp
2021-07-20 01:39:33,921 | bot | DEBUG | exts.setup Successfully setup bot in 773426467492069386
2021-07-20 01:40:12,864 | utils.planner | INFO | added new guild 773426467492069386
2021-07-20 01:40:12,865 | exts.assignment | DEBUG | init dat for 518063131096907813
2021-07-20 01:40:14,902 | bot | DEBUG | waiting for message...
2021-07-20 01:40:25,870 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-07-20 01:40:25,870 | bot | DEBUG | waiting for message...
2021-07-20 01:40:29,657 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-07-20 01:40:29,657 | bot | DEBUG | waiting for message...
2021-07-20 01:40:37,043 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-07-20 01:40:37,045 | bot | DEBUG | waiting for message...
2021-07-20 01:40:38,494 | exts.assignment | DEBUG | processing ✅ for 518063131096907813
2021-07-20 01:40:38,494 | utils.planner | DEBUG | generated new key
2021-07-20 01:40:38,494 | utils.planner | DEBUG | added Assignment from `773426467492069386` with key `3b42e7a5`
2021-07-20 01:40:38,509 | exts.assignment | DEBUG | 518063131096907813 add/edit new assignment and passed in successfully.
2021-07-20 01:40:52,037 | utils.planner | DEBUG | returning sorted date for 773426467492069386
2021-07-20 01:40:52,125 | bot | DEBUG | creating assignment embed...
2021-07-20 01:40:52,125 | bot | DEBUG | successfully created assignment embed
2021-07-20 01:40:53,281 | bot | DEBUG | exts.update :white_check_mark: Sucessfully update works at 773426467492069386 :
10S
2021-07-20 01:40:53,414 | exts.update | DEBUG | updated active-works for 773426467492069386
2021-07-20 01:41:34,689 | exts.assignment | DEBUG | init dat for 518063131096907813
2021-07-20 01:41:36,843 | bot | DEBUG | waiting for message...
2021-07-20 01:41:39,253 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-07-20 01:41:39,253 | bot | DEBUG | waiting for message...
