2021-03-02 00:18:31,461 | main | INFO | Starting program...
2021-03-02 00:18:31,463 | asyncio | DEBUG | Using selector: EpollSelector
2021-03-02 00:18:31,482 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2021-03-02 00:18:31,483 | bot | INFO | Bot Subclass Created.
2021-03-02 00:18:31,568 | bot | INFO | Cog loaded: DayLoop
2021-03-02 00:18:31,570 | bot | INFO | Cog loaded: VoiceChannel
2021-03-02 00:18:31,572 | bot | INFO | Cog loaded: Snekbox
2021-03-02 00:18:31,575 | bot | INFO | Cog loaded: Planner
2021-03-02 00:18:31,576 | bot | INFO | Cog loaded: ErrorHandler
2021-03-02 00:18:31,578 | bot | INFO | Cog loaded: AdminCommands
2021-03-02 00:18:31,580 | bot | INFO | Cog loaded: Help
2021-03-02 00:18:31,581 | bot | INFO | Cog loaded: Latency
2021-03-02 00:18:31,761 | constant | TRACE | Loaded data from database, Key: TODAY
2021-03-02 00:18:31,806 | constant | TRACE | Dumped data to the database succesfullyKey: TODAY (<class 'str'>)Value: (<class 'str'>)
2021-03-02 00:19:31,693 | constant | TRACE | Loaded data from database, Key: TODAY
2021-03-02 00:20:15,813 | exts.admin | DEBUG | Admin Eval from Tpmonkey#2682; code: import utils.planner
2021-03-02 00:20:31,634 | constant | TRACE | Loaded data from database, Key: TODAY
2021-03-02 00:20:36,493 | exts.admin | DEBUG | Admin Eval from Tpmonkey#2682; code: await self.mod.loop_tho()
2021-03-02 00:20:49,670 | exts.errorhand | DEBUG | Command add invoked by Tpmonkey#2682 with error CommandInvokeError: Command raised an exception: IndexError: string index out of range
2021-03-02 00:21:31,630 | constant | TRACE | Loaded data from database, Key: TODAY
2021-03-02 00:21:37,992 | main | INFO | Starting program...
2021-03-02 00:21:37,992 | asyncio | DEBUG | Using selector: EpollSelector
2021-03-02 00:21:38,067 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2021-03-02 00:21:38,067 | bot | INFO | Bot Subclass Created.
