2021-05-01 00:12:56,361 | asyncio | DEBUG | Using selector: EpollSelector
2021-05-01 00:12:56,443 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2021-05-01 00:12:56,801 | bot | INFO | Bot Subclass Created.
2021-05-01 00:12:56,805 | bot | INFO | Cog loaded: DayLoop
2021-05-01 00:12:56,825 | bot | INFO | Cog loaded: Snekbox
2021-05-01 00:12:56,832 | bot | INFO | Cog loaded: SetUp
2021-05-01 00:12:56,844 | bot | INFO | Cog loaded: Latency
2021-05-01 00:12:56,857 | bot | INFO | Cog loaded: Assignments
2021-05-01 00:12:56,864 | bot | INFO | Cog loaded: AdminCommands
2021-05-01 00:12:56,870 | bot | INFO | Cog loaded: Updater
2021-05-01 00:12:56,877 | bot | INFO | Cog loaded: ErrorHandler
2021-05-01 00:12:56,892 | bot | INFO | Cog loaded: VoiceChannel
2021-05-01 00:12:56,929 | bot | INFO | Cog loaded: Help
2021-05-01 00:12:56,937 | bot | INFO | Cog loaded: Settings
2021-05-01 00:12:57,214 | bot | INFO | Cog loaded: KUSNews
2021-05-01 00:12:57,217 | bot | INFO | Cog loaded: NewPatch
2021-05-01 00:12:59,945 | bot | INFO | Connected successfully
2021-05-01 01:42:06,444 | bot | INFO | Resumed Connection
2021-05-01 03:33:30,207 | bot | INFO | Resumed Connection
2021-05-01 03:57:49,521 | bot | INFO | Resumed Connection
2021-05-01 07:11:36,269 | bot | INFO | Resumed Connection
2021-05-01 08:17:37,512 | bot | INFO | Resumed Connection
2021-05-01 10:57:02,395 | bot | INFO | Resumed Connection
2021-05-01 11:29:57,431 | bot | INFO | Resumed Connection
2021-05-01 12:58:45,875 | bot | INFO | Resumed Connection
2021-05-01 14:52:52,235 | asyncio | DEBUG | Using selector: EpollSelector
2021-05-01 14:52:52,267 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2021-05-01 14:52:52,364 | bot | INFO | Bot Subclass Created.
2021-05-01 14:52:52,370 | bot | INFO | Cog loaded: AdminCommands
2021-05-01 14:52:52,373 | bot | WARNING | Couldn't load exts.dayloop with an error: Extension 'exts.dayloop' raised an error: NameError: name 'MINUTES' is not defined
2021-05-01 14:52:52,374 | bot | INFO | Cog loaded: VoiceChannel
2021-05-01 14:52:52,375 | bot | INFO | Cog loaded: Settings
2021-05-01 14:52:52,573 | bot | WARNING | Couldn't load exts.kus with an error: Extension 'exts.kus' raised an error: NameError: name 'COOLDOWN' is not defined
2021-05-01 14:52:52,574 | bot | INFO | Cog loaded: NewPatch
2021-05-01 14:52:52,578 | bot | WARNING | Couldn't load exts.update with an error: Extension 'exts.update' raised an error: NameError: name 'MINUTES' is not defined
2021-05-01 14:52:52,581 | bot | INFO | Cog loaded: Snekbox
2021-05-01 14:52:52,584 | bot | INFO | Cog loaded: Help
2021-05-01 14:52:52,587 | bot | INFO | Cog loaded: Assignments
2021-05-01 14:52:52,589 | bot | INFO | Cog loaded: Latency
2021-05-01 14:52:52,626 | bot | INFO | Cog loaded: ErrorHandler
2021-05-01 14:52:52,629 | bot | INFO | Cog loaded: SetUp
2021-05-01 14:52:55,068 | bot | INFO | Connected successfully
2021-05-01 14:56:27,247 | asyncio | DEBUG | Using selector: EpollSelector
2021-05-01 14:56:27,274 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2021-05-01 14:56:27,378 | bot | INFO | Bot Subclass Created.
2021-05-01 14:56:27,381 | bot | INFO | Cog loaded: Latency
2021-05-01 14:56:27,384 | bot | INFO | Cog loaded: Assignments
2021-05-01 14:56:27,386 | bot | INFO | Cog loaded: DayLoop
2021-05-01 14:56:27,388 | bot | INFO | Cog loaded: Help
